CDISC SEND Rule ID,Class,Domain,Variable,Plain Text Explanation of Condition/Rule,Condition,Rule,Cited Document,Cited Document Section,Cited Item,Cited Guidance,Release Notes
93,FND,ALL,--ORRES,"The precision of the numeric, non-derived data presented in --ORRES should be consistent with the precision in which the result was collected.",,--ORRES precision = precision of data collection,SENDIG v3.1,4.5.1.2,Text,"For numeric non-derived data, --ORRES should be presented at the meaningful precision to which the result was
collected.",
276,ALL,ALL,ALL,The predefined SENDIG-standard labels must be used in all standard domains.,Variable label is present in the SENDIG,Variable label must match the variable label in the SENDIG,SENDIG v3.0,4.2.1,Text,Sponsors must use the predefined SENDIG-standard labels in all standard domains.,
276,ALL,ALL,ALL,The predefined SENDIG-standard labels must be used in all standard domains.,Variable label is present in the SENDIG,Variable label must match the variable label in the SENDIG,SENDIG v3.1,4.2.1,Text,Sponsors must use the predefined SENDIG-standard labels in all standard domains.,
49,ALL,ALL,GEN,The SENDIG will identify when a CDISC published Controlled Terminology Codelist applies to a variable.  If a CDISC published Controlled Terminology Codelist exists it must be used.,CDISC published Controlled Terminology Codelist applies to a variable,CDISC published Controlled Terminology Codelist is used,SENDIG v3.0,4.3.1,Text,"If a controlled terminology codelist exists for a variable in a SEND domain, the name of the codelist will be populated in the Controlled Terms, Codelist, or Format column of the domain model to indicate that a distinct set of controlled values exist and is expected to be used.",
49,ALL,ALL,GEN,The SENDIG will identify when a CDISC published Controlled Terminology Codelist applies to a variable.  If a CDISC published Controlled Terminology Codelist exists it must be used.,CDISC published Controlled Terminology Codelist applies to a variable,CDISC published Controlled Terminology Codelist is used,SENDIG v3.1,4.3.1,Text,"If a controlled terminology codelist exists for a variable in a SEND domain, the name of the codelist will be populated in the Controlled Terms, Codelist, or Format column of the domain model to indicate that a distinct set of controlled values exist and is expected to be used.",
NEW SEND RULE 311,SPC,CO,COSEQ,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",USUBJID ^= null,--SEQ is unique within a USUBJID,SENDIG v3.1,5.2,COSEQ CDISC Notes,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",New rule identified from cited guidance.
NEW SEND RULE 312,SPC,CO,COSEQ,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",POOLID ^= null,--SEQ is unique within a POOLID,SENDIG v3.1,5.2,COSEQ CDISC Notes,"The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.",New rule identified from cited guidance.
238,TDM,TX,SET,The SET variable must contain information which distinguishes the Trial Sets from each other.,,The SET variable must contain information which distinguishes the Trial Sets from each other.,SENDIG v3.0,7.4.1.1,Assumption 8,"In general, each Set should have a distinct combination of TXPARMCD, TXPARM, and TXVAL whenever possible. If two Trial Sets (identified by distinct SETCD values) have the same set of TXPARMCD, TXPARM, and TXVAL entries, the SET variable must contain information which distinguishes the two Trial Sets from each other.",
238,TDM,TX,SET,The SET variable must contain information which distinguishes the Trial Sets from each other.,,The SET variable must contain information which distinguishes the Trial Sets from each other.,SENDIG v3.1,7.4.1.1,Assumption 8,"In general, each Set should have a distinct combination of TXPARMCD, TXPARM, and TXVAL whenever possible. If two Trial Sets (identified by distinct SETCD values) have the same set of TXPARMCD, TXPARM, and TXVAL entries, the SET variable must contain nformation that distinguishes the two Trial Sets from each other.",
162,FND,"CL, PM, MA, MI, TF",--SPID,"The --SPID variable is intended to reflect the mass identification. The value of --SPID should be consistent across domains (CL, PM, MA, MI, and TF).","if the same mass is present in CL, PM, MA, MI, AND/OR TF",CLSPID = PMSPID = MASPID = MISPID = TFSPID,SENDIG v3.0,6.3.3.1,Assumption 4,"CLSPID variable is intended to reflect the mass identification. This variable should be used to link in-life findings with pathology findings. For a carcinogenicity study, the mass identifier in --SPID should be consistent across domains (CL, PM, MA, MI, and TF).",
162,FND,"CL, PM, MA, MI, TF",--SPID,"The --SPID variable is intended to reflect the mass identification. The value of --SPID should be consistent across domains (CL, PM, MA, MI, and TF).","if the same mass is present in CL, PM, MA, MI, AND/OR TF",CLSPID = PMSPID = MASPID = MISPID = TFSPID,SENDIG v3.1,6.3.3.1,Assumption 4,"CLSPID variable is intended to reflect the identifier for any observed masses. This variable should be used to link in-life findings with pathology findings. For a carcinogenicity study, the mass identifier in --SPID should be consistent across domains (CL, PM, MA, MI, and TF).",Cited guidance reference updated; no implementation impact.
249.1,ALL,ALL,STUDYID,The STUDYID in all domains must be the same in all records across the study. ,,STUDYID is the same for all records within the study,SENDIG v3.1,5.1.1,STUDYID CDISC Notes,Unique identifier for a study.,Updated to first applicable cited guidance and clarified rule.
249,ALL,ALL,STUDYID,The STUDYID in all domains must match the STUDYID in TS.,,STUDYID = TS.STUDYID,SENDIG v3.0,7.6.1,Text | STUDYID CDISC Notes,Trial Summary is used to record basic information about the study such as study title...STUDYID...Unique identifier for a study within the submission.,
189,FND,BW,BWTESTCD,"The Terminal Body Weight is presented in BW using the BWTESTCD ""TERMBW"".  The Terminal Body Weight is not presented in OM.",Terminal Body Weight exists,"BWTESTCD  = ""TERMBW""",SENDIG v3.0,6.3.9.1,Assumption 2,Terminal Body Weight will be recorded in the BW domain and this is indicated by the test code (BWTESTCD) of TERMBW.,
246,TDM,TS,TSSEQ,The TSSEQ variable is a unique identifier for each record and is required to identify each record as unique in cases where the same TSPARMCD is used within the dataset.,Multiple records have the same TSPARMCD,Each of the records with the same TSPARMCD have a unique TSSEQ,SENDIG v3.0,7.6.1.1,Assumption 7,The TSSEQ variable is a unique identifier for each record and is Required to identify each record as unique in cases where the same TSPARMCD is used within the dataset. The TSSEQ variable must be populated for all records within the TS dataset.,Cited guidance reference updated; no implementation impact.
246,TDM,TS,TSSEQ,The TSSEQ variable is a unique identifier for each record and is required to identify each record as unique in cases where the same TSPARMCD is used within the dataset.,Multiple records have the same TSPARMCD,Each of the records with the same TSPARMCD have a unique TSSEQ,SENDIG v3.1,7.6.1.1,Assumption 7,"The TSSEQ variable is Required to identify each record as unique, in cases where the same TSPARMCD is used within the dataset. The TSSEQ variable must be populated for all records within the TS dataset.",Cited guidance reference updated; no implementation impact.
239,TDM,TX,TXPARMCD,"The TXPARMCD values marked as ""Yes"" in the ""Should Include"" column in Section 7.4.2 should be included for each set.",,"The TXPARMCD values marked as ""Yes"" in the ""Should Include"" column in Section 7.4.2 should be included for each set.",SENDIG v3.0,7.4.1.1 | 7.4.2,Assumption 10,"The TXPARMCD values marked as ""Yes"" in the ""Should Include"" column in Section 7.4.2 should be included in a well-formed TX domain submission. These TXPARMCD values are expected to occur in almost all studies and may be necessary for clear interpretation of the data package.",
239,TDM,TX,TXPARMCD,"The TXPARMCD values marked as ""Yes"" in the ""Should Include"" column in Section 7.4.2 should be included for each set.",,"The TXPARMCD values marked as ""Yes"" in the ""Should Include"" column in Section 7.4.2 should be included for each set.",SENDIG v3.1,7.4.1.1 | 7.4.2,Assumption 10,"The TXPARMCD values marked as ""Yes"" in the ""Should Include"" column in Section 7.4.2 should be included in a well-formed TX domain submission. These TXPARMCD values are expected to occur in almost all studies and may be necessary for clear interpretation of the data package.",
NEW SEND RULE 317,EVT,DS,DSSTDTC,"The use of an interval of uncertainty, as described in Section 4.4.2, cannot be used for DSSTDTC.",,DSSTDTC cannot contain an interval of uncertainty,SENDIG v3.1,6.2.1.1,Assumption 3.a,"The use of an interval of uncertainty, as described in Section 4.4.2, cannot be used for DSSTDTC.",New rule identified from cited guidance.
165,FND,DD,DDTEST,"The value in DDTEST should always be ""Death Diagnosis"".",,"DDTEST = ""Death Diagnosis""",SENDIG v3.0,6.3.4,DDTEST CDISC Notes,"The value in DDTEST...In this domain, the value should always be ""Death Diagnosis"".",Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1.  
NEW SEND RULE 323,"INT, FND",ALL,FOCID,"The value in FOCID should have semantic value (i.e., ‘1’ is not considered adequate). Example: ‘Injection site 1’ is acceptable.",FOCID ^= null,FOCID must have semantic value,SENDIG v3.1,6.3.8,Assumption 6,"The value in FOCID should have semantic value (i.e., ‘1’ is not considered adequate). Example: ‘Injection site 1’ is acceptable.",New rule identified from cited guidance.
274.1,SPC,SUPP--,QNAM,The value in QNAM may not be the same as any variable name defined in another domain or the SDTM.,,The value in QNAM may not be the same as any variable name defined in another domain or the SDTM.,SENDIG v3.1,8.3,QNAM CDISC Notes,The value in QNAM may not be the same as any variable name defined in another domain or the SDTM.  ,Updated cited document section number.
NEW SEND RULE 339,SPC,SE,"SEENDTC, SESTDTC",The value of SEENDTC for one Element must immediately precede or be the same as the value of SESTDTC for the next Element.,Element is not the last Element for the subject,The value of SEENDTC for one Element must immediately precede or be the same as the value of SESTDTC for the next Element.,SENDIG v3.1,5.3.1.1,Assumption 1,"There are, by definition, no time gaps between Elements; therefore, the value of SEENDTC for one Element will always be immediately before or the same as the value of SESTDTC for the next Element. Each Element continues until the time at which the next Element begins, and a subject must be in only one element at a time.",New rule to reflect new cited guidance. Replaces SEND Rule 126.
NEW SEND RULE 283,"SPC, EVT","SE, DS","SEENDTC, DSSTDTC",The value of SEENDTC for the last Element must immediately precede or be the same as the date/time of disposition for the subject.,Element is the last Element for the subject,The value of SEENDTC for the last Element must immediately precede or be the same as the value of DS.DSSTDTC for the subject,SENDIG v3.1,5.3.1.1,Assumption 1,"There are, by definition, no time gaps between Elements; therefore, the value of SEENDTC for one Element will always be immediately before or the same as the value of SESTDTC for the next Element. Each Element continues until the time at which the next Element begins, and a subject must be in only one element at a time.",New rule to reflect new cited guidance. Replaces SEND Rule 127.
113.1,SPC,"DM, TX",SETCD,The value of SETCD in DM must be one of the SETCD values in TX.,SETCD ^= null,DM.SETCD = TX.SETCD for a given TX record,SENDIG v3.0,5.1.1.1,Assumption 7,Subject (animal) may belong to one and only one Trial Set.,Condition and Rule format updated.
113.1,SPC,"DM, TX",SETCD,The value of SETCD in DM must be one of the SETCD values in TX.,SETCD ^= null,DM.SETCD = TX.SETCD for a given TX record,SENDIG v3.1,5.1.1.1,Assumption 7,A subject (animal) may belong to one and only one Trial Set.,Condition and Rule format updated.
240.1,TDM,TX,TXPARMCD,"The value of TRTDOS is either a number, a semicolon-delimited string containing numbers without spaces, or ""SEE PROTOCOL"" for more complex dosing regimens.","TXPARMCD = ""TRTDOS""","TXVAL is numeric OR TXVAL is a semicolon delimited string containing numbers without spaces OR TXVAL = ""SEE PROTOCOL""",SENDIG v3.0,7.4.2,TRTDOS CDISC Notes,"TRTDOS: Numeric representation of the planned test article dose level. For dose levels that vary over time within a set, a semicolon-delimited string without spaces can be used (e.g., 100;150;7). For more complex dosing regimens, sponsor should enter ""SEE PROTOCOL"".",Rule clarification.
240.1,TDM,TX,TXPARMCD,"The value of TRTDOS is either a number, a semicolon-delimited string containing numbers without spaces, or ""SEE PROTOCOL"" for more complex dosing regimens.","TXPARMCD = ""TRTDOS""","TXVAL is numeric OR TXVAL is a semicolon delimited string containing numbers without spaces OR TXVAL = ""SEE PROTOCOL""",SENDIG v3.1,7.4.2,TRTDOS CDISC Notes," Numeric representation of the planned test article dose level. For dose levels that vary over time within a set, a semicolon-delimited string without spaces can be used (e.g., 100;150;7). For more complex dosing regimens, sponsor should enter ""SEE PROTOCOL"".",Rule clarification.
236.1,TDM,TX,ARMCD,"The value of TXVAL for records with TXPARMCD = ""ARMCD"" must be present in the TA.ARMCD","TXPARMCD = ""ARMCD""",TXVAL is present in the TA.ARMCD,SENDIG v3.0,7.4.1.1,Assumption 6,"The ARMCD parameter should be used to associate each Trial Set with a Trial Arm as defined in the Trial Arms table. Each Trial Set should only have one ARMCD parameter, but more than one Trial Set may have the same value of the ARMCD parameter.",Condition and Rule format updated.
236.1,TDM,TX,ARMCD,"The value of TXVAL for records with TXPARMCD = ""ARMCD"" must be present in the TA.ARMCD","TXPARMCD = ""ARMCD""",TXVAL is present in the TA.ARMCD,SENDIG v3.1,7.4.1.1,Assumption 6,"The ARMCD parameter should be used to associate each Trial Set with a Trial Arm as defined in the Trial Arms table. Each Trial Set should only have one ARMCD parameter, but more than one Trial Set may have the same value of the ARMCD parameter.",Versioned to reflect cited guidance change. 
198,FND,PP,"PPRFTDTC, PCRFTDTC",The values in PPRFTDTC should be the same as that in PCRFTDTC for related records.,PC records are used for the calculation of parameters in PP,Value for PPRFTDTC = Value for PCRFTDTC,SENDIG v3.1,6.3.12,PPRFTDTC CDISC Notes,The values in PPRFTDTC should be the same as that in PCRFTDTC for related records.,
198,FND,PP,"PPRFTDTC, PCRFTDTC",The values in PPRFTDTC should be the same as that in PCRFTDTC for related records.,PC records are used for the calculation of parameters in PP,Value for PPRFTDTC = Value for PCRFTDTC,SENDIG v3.0,6.3.12,PPRFTDTC CDISC Notes,PPRFTDTC: The values in PPRFTDTC should be the same as that in PCRFTDTC for related records.,
229,TDM,TA,EPOCH,The values of EPOCH should provide a description of a time period that is independent of the value of ARM.,,The values of EPOCH should provide a description of a time period that is independent of the value of ARM.,SENDIG v3.0,7.3.1.1,Assumption 10,The values of EPOCH should provide a description of a time period that is independent of the value of ARM.,
229,TDM,TA,EPOCH,The values of EPOCH should provide a description of a time period that is independent of the value of ARM.,,The values of EPOCH should provide a description of a time period that is independent of the value of ARM.,SENDIG v3.1,7.3.1.1,Assumption 12,The values of EPOCH should provide a description of a time period that is independent of the value of ARM.,
222,TDM,"TA, TE",ETCD,The values of ETCD used in the Trial Arms dataset must match values for the same Element in the Trial Elements dataset.,,TA.ETCD = TE.ETCD,SENDIG v3.0,7.3.1,ETCD CDISC Notes,The values of ETCD used in the Trial Arms dataset must match values for the same Element in the Trial Elements dataset.,
222,TDM,"TA, TE",ETCD,The values of ETCD used in the Trial Arms dataset must match values for the same Element in the Trial Elements dataset.,,TA.ETCD = TE.ETCD ,SENDIG v3.1,7.2.1.1,Assumption 4,The values of ETCD used in the Trial Arms dataset must match values for the same Element in the Trial Elements dataset.,Cited guidance reference updated; no implementation impact.
271,ALL,ALL,ALL,The variable type in the .xpt dataseet must match the SDTM specified data type.,,The variable type in the .xpt dataseet must match the SDTM specified data type.,SENDIG v3.0,3.3,Text,Using SDTM-specified data types for all variables.,
271,ALL,ALL,ALL,The variable type in the .xpt dataseet must match the SDTM specified data type.,,The variable type in the .xpt dataseet must match the SDTM specified data type.,SENDIG v3.1,3.3,Text,Using SDTM-specified data types for all variables.,
264,FND,ALL,--STRESC,"The variable, --STRESC, is derived either by the conversion of values in --ORRES to values with standard units, or by the assignment of the value of --ORRES.",--ORRES = null,--STRESC = null,SENDIG v3.0,4.5.1.1,Text,"The variable, --STRESC, is derived either by the conversion of values in --ORRES to values with standard units, or by the assignment of the value of --ORRES.",
264,FND,ALL,--STRESC,"The variable, --STRESC, is derived either by the conversion of values in --ORRES to values with standard units, or by the assignment of the value of --ORRES. ",--ORRES = null,--STRESC = null,SENDIG v3.1,4.5.1.1,Text,"The variable --STRESC is either derived by the conversion of values in --ORRES to values with standard units, or by the assignment of the value of --ORRES",Cited guidance reference updated; no implementation impact.
217,TDM,"TA, TE",ALL,"There are no gaps between Elements. The instant one Element ends, the next Element begins. A subject spends no time ""between"" Elements.",,The Elements in each Arm must be consecutive and contiguous in time; it is not correct to leave any gaps in time between Elements.,SENDIG v3.0,7.2.1.1 | 7.3.1.1,Assumption 5 | Assumption 4,"There are no gaps between Elements. The instant one Element ends, the next Element begins. A subject spends no time ""between"" Elements; The Elements in each Arm must be consecutive in time; it is not correct to leave any gaps in time between Elements.",
217,TDM,"TA, TE",ALL,"There are no gaps between Elements. The instant one Element ends, the next Element begins. A subject spends no time ""between"" Elements.",,The Elements in each Arm must be consecutive and contiguous in time; it is not correct to leave any gaps in time between Elements.,SENDIG v3.1,7.2.1.1 | 7.3.1.1,Assumption 6 | Assumption 5,"There are no gaps between Elements. The instant one Element ends, the next Element begins. A subject spends no time ""between"" Elements | The Elements in each Arm must be consecutive in time; it is not correct to leave any gaps in time between Elements.",
101,SPC,DM,RFENDTC,There must be an explanation in the Define-XML document that explains how RFENDTC was populated.,,RFENDTC definition must be in the Define-XML document,SENDIG v3.0,5.1.1,RFENDTC CDISC Notes,The sponsor must define what collected date is used to populate RFENDTC in the data define file.,
101,SPC,DM,RFENDTC,There must be an explanation in the Define-XML document that explains how RFENDTC was populated.,,RFENDTC definition must be in the Define-XML document,SENDIG v3.1,5.1.1,RFENDTC CDISC Notes,The sponsor must define what collected date is used to populate RFENDTC in the data define file.,
100,SPC,DM,RFSTDTC,There must be an explanation in the Define-XML document that explains how RFSTDTC was populated.,,RFSTDTC definition must be in the Define-XML document,SENDIG v3.0,5.1.1,RFSTDTC CDISC Notes,The sponsor must define what collected date is used to populate RFSTDTC in the data define file.,
100,SPC,DM,RFSTDTC,There must be an explanation in the Define-XML document that explains how RFSTDTC was populated.,,RFSTDTC definition must be in the Define-XML document,SENDIG v3.1,5.1.1,RFSTDTC CDISC Notes,The sponsor must define what collected date is used to populate RFSTDTC in the data define file.,
65,"INT, EVT, FND",ALL,TIMING,There must be at least one timing variable for any of the domains based on the three general observation classes,,At least one timing variable from SDTM Table 2.2.5 present in dataset,SENDIG v3.0,4.4,Text,"Timing variables (SDTM Table 2.2.5) are an essential component of all SDTM subject-level domain datasets. In
general, all domains based on the three general observation classes should have at least one Timing variable. In the
Events or Interventions general observation class this could be the start date of the event or intervention. In the
Findings observation class where data are usually collected at multiple study days, either --DTC or --DY must be
used.",
65,"INT, EVT, FND",ALL,TIMING,There must be at least one timing variable for any of the domains based on the three general observation classes,,At least one timing variable from SDTM Table 2.2.5 present in dataset,SENDIG v3.1,4.4,Text,"Timing variables (SDTM Table 2.2.5) are an essential component of all SDTM subject-level domain datasets. In
general, all domains based on the three general observation classes should have at least one Timing variable. In the
Events or Interventions general observation class this could be the start date of the event or intervention. In the
Findings observation class where data are usually collected at multiple study days, either --DTC or --DY must be
used.",
87,FND,ALL,--STRESC,There should always be data presented in --STRESC if there are data presented in --ORRES.  --STRESC population is not based on data value format - it will be populated for both character and numeric values.,--ORRES ^= null,--STRESC ^= null,SENDIG v3.0,4.5.1.1,Text,"When --ORRES is populated, --STRESC must also be populated, regardless of whether the data values are character or numeric.",
87,FND,ALL,--STRESC,There should always be data presented in --STRESC if there are data presented in --ORRES.  --STRESC population is not based on data value format - it will be populated for both character and numeric values.,--ORRES ^= null,--STRESC ^= null,SENDIG v3.1,4.5.1.1,Text,"When --ORRES is populated, --STRESC must also be populated, regardless of whether the data values are character or numeric.",
85.1,FND,ALL,--ORRES,"There should always be data presented in the --ORRES variable unless  --STAT = ""NOT DONE"".","--STAT ^= ""NOT DONE""",--ORRES ^= null,SENDIG v3.0,4.5.1.1,Text,"--ORRES is an Expected variable and should always be populated except when --STAT = ""NOT DONE"".",Condition format updated.
85.1,FND,ALL,--ORRES,"There should always be data presented in the --ORRES variable unless  --STAT = ""NOT DONE"".","--STAT ^= ""NOT DONE""",--ORRES ^= null,SENDIG v3.1,4.5.1.1,Text,"--ORRES is an Expected variable and should always be populated except when --STAT = ""NOT DONE"".",Condition format updated.
184.1,FND,MI,ALL,This domain should contain at least one record for every scheduled tissue for each subject scheduled for examination.,Tissue was scheduled to be examined for the subject,At least one record exists for each scheduled tissue for the subject,SENDIG v3.0,6.3.8.1,Assumption 1.a,"This domain should contain at least one record for every scheduled tissue for all subjects in the study (i.e., if an organ was examined and found normal, it should have a record indicating NORMAL). In addition unscheduled tissues that were examined should also have a record. Subjects that were not scheduled for examination should not have records unless they were examined.","Clarification of plain text, condition, and rule.  No implementation impact."
184.1,FND,MI,ALL,This domain should contain at least one record for every scheduled tissue for all subjects in the study.,Tissue was scheduled to be examined,At least one record exists for each scheduled tissue,SENDIG v3.1,6.3.8.1,Assumption 1.b,"This domain should contain at least one record for every protocol-scheduled tissue for all subjects in the study (i.e., if an organ was examined and no pathological changes were present, it should have a record indicating UNREMARKABLE). In addition unscheduled tissues that were examined should also have a record. Subjects that were not scheduled for examination should not have records unless they were examined.","Clarification of plain text, condition, and rule.  No implementation impact."
185,FND,MI,ALL,This domain should contain at least one record for every unscheduled tissue that was examined.,Tissue was examined,At least one record exists for tissue,SENDIG v3.0,6.3.8.1,Assumption 1.a,"This domain should contain at least one record for every scheduled tissue for all subjects in the study (i.e., if an organ was examined and found normal, it should have a record indicating NORMAL). In addition unscheduled tissues that were examined should also have a record. Subjects that were not scheduled for examination should not have records unless they were examined.",
185,FND,MI,ALL,This domain should contain at least one record for every unscheduled tissue that was examined.,Tissue was examined,At least one record exists for tissue,SENDIG v3.1,6.3.8.1,Assumption 1.b,"This domain should contain at least one record for every protocol-scheduled tissue for all subjects in the study (i.e., if an organ was examined and no pathological changes were present, it should have a record indicating UNREMARKABLE). In addition unscheduled tissues that were examined should also have a record. Subjects that were not scheduled for examination should not have records unless they were examined.",Cited guidance reference updated; no implementation impact.
167,FND,DD,ALL,This domain should only be utilized for subjects with an unscheduled death.,Subject with scheduled reason for termination,No record should exist for that subject,SENDIG v3.0,6.3.4.1,Assumption 2 | Assumption 3,"This domain should only be utilized for subjects with an unscheduled death. This may include moribund animals, animals found dead, accidental death, etc. This domain will not include findings of ""planned sacrifice"" or other scheduled reasons for termination.",
167,FND,DD,ALL,This domain should only be utilized for subjects with an unscheduled death.,Subject with scheduled reason for termination,No record should exist for that subject,SENDIG v3.1,6.3.4.1,Assumption 2,"No records will be present for subjects where a cause of death was not collected. This domain should be utilized only for subjects with an unscheduled death. This may include moribund subjects, subjects found dead, accidental deaths, etc.",
10,SPC,"SUPP--, RELREC",TIMING,Timing variables cannot be added to SUPP-- datasets or to RELREC,Domain = SUPP-- or RELREC,Timing variables not present,SENDIG v3.0,4.1.1,Text,Timing variables cannot be added to SUPP-- datasets or to RELREC,Replaced by SEND Rule 299 in SENDIG v3.1 and SENDIG v3.1.1.
279.1,"INT, FND",ALL,--TPTREF,--TPTREF must be populated when --ELTM is populated because --ELTM is in relative to --TPTREF,--ELTM ^= null,--TPTREF ^= null,SENDIG v3.1,4.4.7.2.2,Text,"--TPTREF: the description of the fixed reference point event or “anchor’ from which the planned observation will be made, usually the dose ...--ELTM: the planned elapsed time from the fixed reference point event (e.g., a dose) to the planned observation...",Versioned to reflect cited guidance change. 
243.1,TDM,TX,TXVAL,Trial Set Parameters that include dates are required to be presented according to the international standard ISO 8601,"TXPARMCD In (""DOSENDTC"", ""DOSSTDTC"")",TXVAL value is in ISO 8601 date/time format,SENDIG v3.0,7.4.2,"TXPARM Controlled Terms, Codelist, or Format","See Controlled Terms, Codelist, or Format for TXPARM that include dates or durations.",Updated condition format.
243.1,TDM,TX,TXVAL,Trial Set Parameters that include dates are required to be presented according to the international standard ISO 8601,"TXPARMCD In (""DOSENDTC"", ""DOSSTDTC"")",TXVAL value is in ISO 8601 date/time format,SENDIG v3.1,7.4.2,"TXPARM Controlled Terms, Codelist, or Format","See Controlled Terms, Codelist, or Format for TXPARM that include dates or durations.",Updated condition format.
NEW SEND RULE 307,TDM,TX,TXPARM,Trial Sets (TX) can have multiple species and/or strains if they are different by set.,"TXPARMCD = ""SPECIES"" is present in TX",One Trial Set cannot contain more than one species.,SENDIG v3.1,5.1.1.1,Assumption 6,Trial Sets (TX) can have multiple species and/or strains if they are different by set.,New rule identified from cited guidance.
NEW SEND RULE 308,TDM,TX,TXPARM,Trial Sets (TX) can have multiple species and/or strains if they are different by set.,"TXPARMCD = ""STRAIN"" is present in TX",One Trial Set cannot contain more than one strain.,SENDIG v3.1,5.1.1.1,Assumption 6,Trial Sets (TX) can have multiple species and/or strains if they are different by set.,New rule identified from cited guidance.
26,TDM,TS,TSPARMCD,TSPARMCD value limited to 8 characters,,TSPARMCD value length <= 8,SENDIG v3.0,4.2.1,Text,"ETCD (the companion to ELEMENT), SETCD (the short name of a specific Trial Set), and TSPARMCD
(the companion to TSPARM) are limited to 8 characters, but do not have special character restrictions.",
26,TDM,TS,TSPARMCD,TSPARMCD value limited to 8 characters,,TSPARMCD value length <= 8,SENDIG v3.1,4.2.1,Text,"ETCD (the companion to ELEMENT), SETCD (the short name of a specific Trial Set), and TSPARMCD
(the companion to TSPARM) are limited to 8 characters, but do not have special character restrictions.",
187,FND,MI,ALL,Tumor findings should be presented in MI.,Tumor findings exist,All tumor findings are presented in MI,SENDIG v3.0,6.3.8.1,Assumption 5,"Tumor findings should have a record in this domain, even if they also have records in the TF domain.",
187,FND,MI,ALL,Tumor findings should be presented in MI.,Tumor findings exist,All tumor findings are presented in MI,SENDIG v3.1,6.3.8.1,Assumption 4.g,"Tumor findings should have a record in this domain, even if they also have records in the TF domain.",
33,"INT, EVT, FND",ALL,GEN,Two character domain identifier is in uppercase,,Two character domain identifier is in uppercase,SENDIG v3.0,4.2.2,Text,"The two-character domain code is limited to A to Z for the first character, and A-Z, 0 to 9 for the second character and is always represented in uppercase.",
33,"INT, EVT, FND",ALL,GEN,Two character domain identifier is in uppercase,,Two character domain identifier is in uppercase,SENDIG v3.1,4.2.2,Text,"The two-character domain code is limited to A to Z for the first character, and A-Z, 0 to 9 for the second character and is always represented in uppercase.",
31,"INT, EVT, FND",ALL,GEN,Two character domain identifier used as a prefix in the variable is limited to A to Z for the first character,,Two character domain identifier used as a prefix in the variable is limited to A to Z for the first character,SENDIG v3.0,4.2.2,Text,"The two-character domain code is limited to A to Z for the first character, and A-Z, 0 to 9 for the second character and is always represented in uppercase.",
31,"INT, EVT, FND",ALL,GEN,Two character domain identifier used as a prefix in the variable is limited to A to Z for the first character,,Two character domain identifier used as a prefix in the variable is limited to A to Z for the first character,SENDIG v3.1,4.2.2,Text,"The two-character domain code is limited to A to Z for the first character, and A-Z, 0 to 9 for the second character and is always represented in uppercase.",
32,"INT, EVT, FND",ALL,GEN,"Two character domain identifier used as a prefix in the variable is limited to A to Z, 0-9 for the second character",,"Two character domain identifier used as a prefix in the variable is limited to A to Z, 0-9 for the second character",SENDIG v3.0,4.2.2,Text,"The two-character domain code is limited to A to Z for the first character, and A-Z, 0 to 9 for the second character and is always represented in uppercase.",
32,"INT, EVT, FND",ALL,GEN,"Two character domain identifier used as a prefix in the variable is limited to A to Z, 0-9 for the second character",,"Two character domain identifier used as a prefix in the variable is limited to A to Z, 0-9 for the second character",SENDIG v3.1,4.2.2,Text,"The two-character domain code is limited to A to Z for the first character, and A-Z, 0 to 9 for the second character and is always represented in uppercase.",
232,TDM,TX,TXPARMCD,TXPARMCD value limited to 8 characters,,TXPARMCD value length <= 8,SENDIG v3.0,7.4.1,TXPARMCD CDISC Notes,Short character value for the Trial Set parameter described in TXPARM.  Maximum 8 characters.,
232,TDM,TX,TXPARMCD,TXPARMCD value limited to 8 characters,,TXPARMCD value length <= 8,SENDIG v3.1,7.4.1,TXPARMCD CDISC Notes,Short character value for the Trial Set parameter described in TXPARM.  Maximum 8 characters.,
231,TDM,TX,TXSEQ,TXSEQ should be unique for each record within the TX dataset.,,TXSEQ should be unique for each record within the TX dataset.,SENDIG v3.0,7.4.1,TXSEQ CDISC Notes,Unique number for this record within this dataset. (This sequence should be unique within the entire dataset because there is no USUBJID.),Cited guidance reference updated; no implementation impact.
231,TDM,TX,TXSEQ,TXSEQ should be unique for each record within the TX dataset.,,TXSEQ should be unique for each record within the TX dataset.,SENDIG v3.1,7.4.1,TXSEQ CDISC Notes,Unique number for this record within this dataset. (This sequence should be unique within the entire dataset because there is no USUBJID.),Cited guidance reference updated; no implementation impact.
NEW SEND RULE 303,"INT, EVT, FND",ALL,--USCHFL,"--USCHFL value must either be ""Y"" or null",--USCHFL ^= null,"--USCHFL = ""Y"" ",SENDIG v3.1,4.2.9 | 6.2.1 ,Text | DSUSCHFL CDISC Notes,The Unscheduled Flag (--USCHFL) variable is populated when the timing of a performed test or observation was not driven by the study schedule. | Expected values are Y or null.,New rule identified from cited guidance.
